"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Trappc9_JF1",0.000151503729658919,0.0510729835000779,0.0504337448133154,0.000118438080014602,"Maternal","imprinted"
"Tssc4_129",-0.000870155364551761,0.0129003892225054,0.0296636457098515,9.41255494847526e-05,"Maternal","active"
"Tssc4_JF1",0.000290378004038319,0.0647697564403181,0.0188616668178718,-0.00278102444437519,"Maternal","imprinted"
"Ube3a_129",0.00161070094773955,0.00334505074218684,-0.0249823318322562,0.000167679950094633,"Maternal","active"
"Ube3a_JF1",-0.00122677615015587,-0.0263072679813751,-0.0151353792719768,-0.000662419082015013,"Maternal","imprinted"
"Usp29_129",-0.000349041601493154,0.00281493666421286,0.00583473996818959,-0.000321731412279126,"Paternal","imprinted"
"Usp29_JF1",0.00222547083425401,0.0145524694015114,-0.0205452084491129,-0.000840500871183698,"Paternal","active"
"Xist_129",-0.000129737138292017,-0.00676334285318965,-10.8295339989512,-9.98049303169952,"Paternal","imprinted"
"Xist_JF1",0.00025085695794253,0,-16.9102203525345,-17.0867572868218,"Paternal","active"
"Xlr3b_129",0.00428844740644511,0.0099660162087892,-0.000747409732237482,0.00905662126721763,"Maternal","active"
"Xlr3b_JF1",-0.00232068090500037,NA,-0.0120596610893566,-0.0440461318223457,"Maternal","imprinted"
"Zdbf2_129",0.0002767734252779,NA,0.000706605503029883,-0.00825985768212604,"Paternal","imprinted"
"Zdbf2_JF1",0.00213213526079834,0.189250731178998,0.0090766166779894,-0.0086163709446287,"Paternal","active"
"Zfp64_129",0.00171882302437971,-0.0010771513916942,-0.0191419519113114,0.000443007836693022,"Paternal","imprinted"
"Zfp64_JF1",-0.00014156441554774,-0.0229868079184393,-0.0141645807390437,0.000306077411432516,"Paternal","active"
"Zim1_129",0.00293665428724761,0.00934150926828223,-0.0284407623605726,-0.00442866793337089,"Maternal","active"
"Zim1_JF1",-0.000746606671557928,-0.0181726563754038,-0.0436411076463998,-0.00756552487297715,"Maternal","imprinted"
"Zrsr1_129",-0.000866666178823195,NA,-0.0156256544110815,0.00408305578328001,"Paternal","imprinted"
"Zrsr1_JF1",0.000161835079269343,0.0998098342889829,0.0527499341383526,-0.000235867086459083,"Paternal","active"
