Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Hars2_JF1,494.82190305235457,418.7795116866477,521.658239994255,465.61793554327005,529.9421249226065,637.0448613774075,653.4896186971788,518.1191148661644,475.6767188060076,717.6170195339485,480.4328506454497,593.3263260831837
Hars_129,2245.1331052218598,1046.9487792166192,974.2320103676492,1126.279113080025,987.721917940858,2517.425555650031,1177.6174448455665,2541.352848537757,1000.0864644830093,3118.181066050232,1239.4536781421996,1095.6025751451707
Hars_JF1,1752.251680220691,2802.14692067445,2791.576527536824,2547.9913721207695,2885.365739738191,1753.850404564559,2466.3767114584043,1884.0695086042342,2682.435305159936,2847.9487155981174,2539.8813285763817,3193.756547820443
Has1_129,42.690517126085496,15.753461254670132,26.787855567272555,13.385320528964643,21.423192284105365,25.4817944550963,26.11529145351179,48.17223175408553,37.07947696706073,85.57357764316959,32.589536914680394,47.02586395600276
Has1_JF1,0,15.753461254670132,0,0,0,0,30.366617969199755,0,0,0,0,17.009355047915893
Hat1_129,434.6670834655977,412.8719637161464,459.62320604899224,544.9737643935605,372.0870238818301,500.84906342775486,450.0332783035404,0,378.2106650640194,505.93501167979207,450.9971398838029,0
Hat1_JF1,435.6373224911906,417.4667232487585,355.29155805014125,438.8472944853408,436.3566007341462,447.2494268153109,447.6039488660044,771.8262021043482,424.8248646797529,400.8446531706365,401.5871968196101,740.4072197328094
Haus1_129,0,1.3127884378891777,52.1658239994255,0,78.9275505203882,65.90119255628353,89.27785682944729,0,104.88194913540035,0,91.46095843797401,0
Haus1_JF1,189.19660999060616,150.31427613831084,104.331647998851,181.65792146452014,134.17683588465994,128.2876548428986,75.91654492299939,131.67076679450045,62.50540403018808,175.65102779387442,75.69182767280608,137.07539068026335
Haus2_129,595.7267617140112,583.5344606417395,562.5449669127237,626.2417818908458,648.3334507031888,588.7173201694662,609.761688821531,620.8865426082135,736.292471203063,731.1286370565541,578.2014613894909,682.3753025105082
